pass.fname,pass.lname,pass.dob,pass.age,pass.gender,pass.status,home.address,home.city,home.prov,home.country,emerg.contact.fname,emerg.contact.lname,emerg.contact.relationship,emerg.contact.phone,board.date,board.location
Dean,Friedman,1985-08-28,39,Male,Silver,"6437 Andrews Stravenue Street, Red Deer, Alberta, X7C6R2, Canada",Red Deer,AB,Canada,Aaron,Parker,Other,(126) 788-8610,2025-02-09,"Halifax, NS"
Katherine,Friedman,1990-08-28,34,Female,Silver,"6437 Andrews Stravenue Street, Red Deer, Alberta, X7C6R2, Canada",Red Deer,AB,Canada,Aaron,Parker,Other,(126) 788-8610,2025-02-09,"Halifax, NS"
Betty,Smith,1977-12-15,47,Female,Silver,"2979 Gregory Cove Drive, Red Deer, Alberta, C6N7E9, Canada",Red Deer,AB,Canada,David,Smith,Relative,(712) 406-5965,2025-02-09,"Halifax, NS"
Mark,Smith,1971-12-17,53,Male,Silver,"2979 Gregory Cove Drive, Red Deer, Alberta, C6N7E9, Canada",Red Deer,AB,Canada,NA,NA,NA,NA,2025-02-09,"Halifax, NS"
Mark,Evans,1996-03-25,28,Male,Gold,"7077 Salinas Forges Avenue, Nanaimo, British Columbia, G2X3K1, Canada",Nanaimo,BC,Canada,Kimberly,Maldonado,Other,(073) 741-6724,2025-02-09,"Halifax, NS"
Jamie,Evans,1998-03-09,26,Female,Gold,"7077 Salinas Forges Avenue, Nanaimo, British Columbia, G2X3K1, Canada",Nanaimo,BC,Canada,Kimberly,Maldonado,Other,(073) 741-6724,2025-02-09,"Halifax, NS"
Carrie,Wilson,1973-06-28,51,Female,Gold,"4563 Wright Road Court, Quebec City, Quebec, K6K2Y3, Canada",Quebec City,QC,Canada,Nathan,Chavez,Other,(401) 051-2382,2025-02-09,"Halifax, NS"
Christopher,Wilson,1972-06-28,52,Male,Gold,"4563 Wright Road Court, Quebec City, Quebec, K6K2Y3, Canada",Quebec City,QC,Canada,Nathan,Chavez,Other,(401) 051-2382,2025-02-09,"Halifax, NS"
Jamie,Love,1998-07-04,26,Female,Silver,"8522 Herman Glens Drive, Hamilton, Ontario, N9H 8H2, Canada",Hamilton,ON,Canada,Eric,Love,Relative,(675) 289-5392,2025-02-09,"Halifax, NS"
Matthew,Love,2000-07-03,24,Male,Silver,"8522 Herman Glens Drive, Hamilton, Ontario, N9H 8H2, Canada",Hamilton,ON,Canada,NA,NA,NA,NA,2025-02-09,"Halifax, NS"
Leah,Flores,1945-11-12,79,Female,Silver,"2612 Heath Station Terrace, London, Ontario, T5R 3G8, Canada",London,ON,Canada,Barry,Scott,Other,(006) 762-6765,2025-02-09,"Halifax, NS"
Oliver,Flores,1939-11-14,85,Male,Silver,"2612 Heath Station Terrace, London, Ontario, T5R 3G8, Canada",London,ON,Canada,Barry,Scott,Other,(006) 762-6765,2025-02-09,"Halifax, NS"
Stephanie,Adams,1986-01-03,39,Female,Gold,"1441 Eric Vista Road, Montreal, Quebec, H6S2S3, Canada",Montreal,QC,Canada,Sam,Adams,Relative,(786) 103-5797,2025-02-09,"Halifax, NS"
Christina,Woolworth,1992-01-02,33,Female,Gold,"1441 Eric Vista Road, Montreal, Quebec, H6S2S3, Canada",Montreal,QC,Canada,James,Hull,Other,(786) 103-5797,2025-02-09,"Halifax, NS"
Tony,Ruiz,1987-09-17,37,Male,Silver,"2068 Allen Parkways Drive, Dartmouth, Nova Scotia, S9V 9G1, Canada",Dartmouth,NS,Canada,Mark,Carpenter,Other,(816) 846-0223,2025-02-09,"Halifax, NS"
Linda,Ruiz,1984-09-17,40,Female,Silver,"2068 Allen Parkways Drive, Dartmouth, Nova Scotia, S9V 9G1, Canada",Dartmouth,NS,Canada,NA,NA,NA,NA,2025-02-09,"Halifax, NS"
Jamie,Fry,1951-12-07,73,Male,Gold,"9337 Rosales Vista Crescent, Summerside, Prince Edward Island, L8V9H1, Canada",Summerside,PEI,Canada,Dawn,Nichols,Other,(901) 001-6761,2025-02-09,"Halifax, NS"
Karen,Fry,1953-11-07,71,Female,Gold,"9337 Rosales Vista Crescent, Summerside, Prince Edward Island, L8V9H1, Canada",Summerside,PEI,Canada,Dawn,Nichols,Other,(901) 001-6761,2025-02-09,"Halifax, NS"
Crystal,Neal,1948-08-18,76,Female,Silver,"8809 Amanda Greens Drive, Calgary, Alberta, G1Y3L7, Canada",Calgary,AB,Canada,Joshua,Lozano,Relative,(001) 197-2181,2025-02-09,"Halifax, NS"
Joelle,Garcia,1990-09-29,34,Female,Gold,"248 Duncan Harbors Crescent, Lethbridge, Alberta, B7K 6G3, Canada",Lethbridge,AB,Canada,Jessica,Brown,Relative,(935) 889-1637,2025-02-09,"Halifax, NS"
Vincent,Garcia,1984-10-01,40,Male,Gold,"248 Duncan Harbors Crescent, Lethbridge, Alberta, B7K 6G3, Canada",Lethbridge,AB,Canada,NA,NA,NA,NA,2025-02-09,"Halifax, NS"
Regina,Conner,1984-05-09,40,Female,Silver,"3470 Doris Knolls Road, London, Ontario, S6N 7J9, Canada",London,ON,Canada,Sarah,Rivera,Other,(113) 055-4885,2025-02-09,"Halifax, NS"
Ronald,Conner,1982-05-10,42,Male,Silver,"3470 Doris Knolls Road, London, Ontario, S6N 7J9, Canada",London,ON,Canada,Sarah,Rivera,Other,(113) 055-4885,2025-02-09,"Halifax, NS"
Kayla,Taylor,1970-03-03,54,Female,Silver,"7289 Jeffrey Vista Court, Laval, Quebec, J1A5P8, Canada",Laval,QC,Canada,April,Fitzgerald,Relative,(697) 829-2216,2025-02-09,"Halifax, NS"
Crystal,Bowers,1951-06-27,73,Female,Platinum,"3596 William Shoal Avenue, Hamilton, Ontario, E6Y6H4, Canada",Hamilton,ON,Canada,Jill,Conway,Relative,(561) 648-4085,2025-02-09,"Halifax, NS"
Todd,Bowers,1955-06-26,69,Male,Platinum,"3596 William Shoal Avenue, Hamilton, Ontario, E6Y6H4, Canada",Hamilton,ON,Canada,Jill,Conway,Relative,(561) 648-4085,2025-02-09,"Halifax, NS"
Sheldon,Cortez,1988-01-09,37,Male,Silver,"4471 Thornton Stream Street, Vancouver, British Columbia, L5E4H2, Canada",Vancouver,BC,Canada,Daniel,Francis,Relative,(424) 508-8210,2025-02-09,"Halifax, NS"
Emma,Cortez,1993-01-07,32,Female,Silver,"4471 Thornton Stream Street, Vancouver, British Columbia, L5E4H2, Canada",Vancouver,BC,Canada,Daniel,Francis,Relative,(424) 508-8210,2025-02-09,"Halifax, NS"
William,Cunningham,1945-03-24,79,Male,Silver,"9982 Rodriguez Prairie Court, London, Ontario, K7P 5V5, Canada",London,ON,Canada,Sarah,Trevino,Other,(834) 110-8099,2025-02-09,"Halifax, NS"
James,Lewis,1987-05-05,37,Male,Silver,"7276 Courtney Port Terrace, Surrey, British Columbia, G7A 5J3, Canada",Surrey,BC,Canada,Keith,Lewis,Relative,(750) 373-1453,2025-02-09,"Halifax, NS"
Susan,Lewis,1986-07-05,38,Female,Silver,"7276 Courtney Port Terrace, Surrey, British Columbia, G7A 5J3, Canada",Surrey,BC,Canada,Keith,Lewis,Relative,(750) 373-1453,2025-02-09,"Halifax, NS"
Justin,Hinton,1983-06-25,41,Male,Silver,"5360 Jones Fork Avenue, Hamilton, Ontario, H2Y 4K1, Canada",Hamilton,ON,Canada,Jessica,Brown,Relative,(519) 066-9849,2025-02-09,"Halifax, NS"
Amy,Hinton,1982-06-25,42,Female,Silver,"5360 Jones Fork Avenue, Hamilton, Ontario, H2Y 4K1, Canada",Hamilton,ON,Canada,Jessica,Brown,Relative,(519) 066-9849,2025-02-09,"Halifax, NS"
Douglas,Hansen,1964-08-03,60,Male,Gold,"5894 Taylor Camp Lane, Nanaimo, British Columbia, K9S8Y8, Canada",Nanaimo,BC,Canada,Rebecca,Gutierrez,Relative,(434) 165-1827,2025-02-09,"Halifax, NS"
Luis,Long,1986-05-10,38,Male,Silver,"7906 Wilcox Island Drive, Calgary, Alberta, H2H5L6, Canada",Calgary,AB,Canada,Louis,Diaz,Relative,(564) 729-2931,2025-02-09,"Halifax, NS"
Leslie,Long,1989-05-09,35,Female,Silver,"7906 Wilcox Island Drive, Calgary, Alberta, H2H5L6, Canada",Calgary,AB,Canada,Louis,Diaz,Relative,(564) 729-2931,2025-02-09,"Halifax, NS"
Samuel,Kelly,1969-08-04,55,Male,Silver,"6923 Combs Points Boulevard, Sherbrooke, Quebec, Y8N 8P4, Canada",Sherbrooke,QC,Canada,Lisa,Foster,Relative,(762) 202-3413,2025-02-09,"Halifax, NS"
Jessica,Kelly,1973-08-03,51,Female,Silver,"6923 Combs Points Boulevard, Sherbrooke, Quebec, Y8N 8P4, Canada",Sherbrooke,QC,Canada,Lisa,Foster,Relative,(762) 202-3413,2025-02-09,"Halifax, NS"
Kristin,Kelley,1963-06-05,61,Female,Silver,"1556 Rivera Lodge Drive, Vancouver, British Columbia, B9S5V6, Canada",Vancouver,BC,Canada,Seth,Donovan,Relative,(728) 299-7968,2025-02-09,"Halifax, NS"
Susan,Kelley,1959-06-06,65,Female,Silver,"1556 Rivera Lodge Drive, Vancouver, British Columbia, B9S5V6, Canada",Vancouver,BC,Canada,Seth,Donovan,Relative,(728) 299-7968,2025-02-09,"Halifax, NS"
Carly,Olson,1935-10-08,89,Female,Silver,"2734 Michael Manors Boulevard, Ottawa, Ontario, L9G 5L3, Canada",Ottawa,ON,Canada,Jeffrey,Carter,Relative,(085) 368-6632,2025-02-09,"Halifax, NS"
Nicholas,Boyer,1977-06-12,47,Male,Silver,"5630 Dixon Fall Court, Hamilton, Ontario, R8L3E9, Canada",Hamilton,ON,Canada,George,Booker,Relative,(052) 812-7358,2025-02-09,"Halifax, NS"
John,Boyer,1974-06-13,50,Male,Silver,"5630 Dixon Fall Court, Hamilton, Ontario, R8L3E9, Canada",Hamilton,ON,Canada,George,Booker,Relative,(052) 812-7358,2025-02-09,"Halifax, NS"
Tiffany,Warren,1955-05-24,69,Female,Silver,"9192 Renee Roads Terrace, Brandon, Manitoba, J7E2L5, Canada",Brandon,MB,Canada,Jasmine,Burns,Relative,(539) 103-7170,2025-02-09,"Halifax, NS"
Thomas,Warren,1960-05-26,64,Male,Silver,"9192 Renee Roads Terrace, Brandon, Manitoba, J7E2L5, Canada",Brandon,MB,Canada,Jasmine,Burns,Relative,(539) 103-7170,2025-02-09,"Halifax, NS"
Anthony,Kirk,1988-08-20,36,Male,Silver,"5322 Walsh Course Lane, Surrey, British Columbia, C2B 5M8, Canada",Surrey,BC,Canada,Ethan,Ingram,Relative,(899) 210-7522,2025-02-09,"Halifax, NS"
Tammie,Kirk,1989-01-26,36,Female,Silver,"5322 Walsh Course Lane, Surrey, British Columbia, C2B 5M8, Canada",Surrey,BC,Canada,Ethan,Ingram,Relative,(899) 210-7522,2025-02-09,"Halifax, NS"
Mark,Cummings,1996-01-13,29,Male,Gold,"7845 Hamilton Ford Crescent, Calgary, Alberta, Y7L6T6, Canada",Calgary,AB,Canada,Barbara,Townsend,Relative,(480) 589-2583,2025-02-09,"Halifax, NS"
Michael,Maddox,1962-09-26,62,Male,Silver,"8089 Sharon Prairie Drive, London, Ontario, T6J 2J3, Canada",London,ON,Canada,James,Duncan,Relative,(983) 314-6591,2025-02-09,"Halifax, NS"
Nicole,Maddox,1963-06-16,61,Female,Silver,"8089 Sharon Prairie Drive, London, Ontario, T6J 2J3, Canada",London,ON,Canada,James,Duncan,Relative,(983) 314-6591,2025-02-09,"Halifax, NS"
Sandra,Christensen,1982-08-30,42,Female,Silver,"8902 Jeff Dam Road, Lethbridge, Alberta, A6R 2L6, Canada",Lethbridge,AB,Canada,Mary,Lin,Relative,(463) 681-5798,2025-02-09,"Halifax, NS"
Christopher,Christensen,1979-08-22,45,Male,Silver,"8902 Jeff Dam Road, Lethbridge, Alberta, A6R 2L6, Canada",Lethbridge,AB,Canada,Mary,Lin,Relative,(463) 681-5798,2025-02-09,"Halifax, NS"
Mary,Castro,1952-10-11,72,Female,Platinum,"4895 Juan Skyway Boulevard, Nanaimo, British Columbia, X1S 4G5, Canada",Nanaimo,BC,Canada,Tiffany,Perez,Relative,(936) 392-6495,2025-02-09,"Halifax, NS"
Matthew,Khan,1997-01-20,28,Male,Silver,"6959 Andrews Summit Boulevard, Toronto, Ontario, S1X8H5, Canada",Toronto,ON,Canada,Cassidy,Joseph,Relative,(123) 094-0777,2025-02-09,"Halifax, NS"
Shelly,Khan,2000-01-20,25,Female,Silver,"6959 Andrews Summit Boulevard, Toronto, Ontario, S1X8H5, Canada",Toronto,ON,Canada,Cassidy,Joseph,Relative,(123) 094-0777,2025-02-09,"Halifax, NS"
Laura,Lewis,2008-08-07,16,Female,Silver,"6807 Kristin Port Avenue, Quebec City, Quebec, E4S6G9, Canada",Quebec City,QC,Canada,Christopher,Murray,Relative,(576) 084-9588,2025-02-09,"Halifax, NS"
Susan,Lewis,1976-08-07,48,Female,Silver,"6807 Kristin Port Avenue, Quebec City, Quebec, E4S6G9, Canada",Quebec City,QC,Canada,Christopher,Murray,Relative,(576) 084-9588,2025-02-09,"Halifax, NS"
Sandra,Wiggins,1981-04-21,43,Female,Silver,"5702 Debbie Club Drive, Ottawa, Ontario, R4M3J6, Canada",Ottawa,ON,Canada,Marcus,Palmer,Relative,(858) 542-4932,2025-02-09,"Halifax, NS"
Robert,Scott,1986-09-13,38,Male,Gold,"3112 Anna Crest Street, Brandon, Manitoba, B5X9G8, Canada",Brandon,MB,Canada,Erika,Banks,Relative,(639) 382-7615,2025-02-09,"Halifax, NS"
Lisa,Scott,1990-09-12,34,Female,Gold,"3112 Anna Crest Street, Brandon, Manitoba, B5X9G8, Canada",Brandon,MB,Canada,Erika,Banks,Relative,(639) 382-7615,2025-02-09,"Halifax, NS"
Jaime,Thompson,1992-11-24,32,Male,Silver,"3713 Tammy Lock Lane, Ottawa, Ontario, K8M8T5, Canada",Ottawa,ON,Canada,Makayla,Smith,Relative,(278) 469-9733,2025-02-09,"Halifax, NS"
Sarah,Thompson,1986-11-26,38,Female,Silver,"3713 Tammy Lock Lane, Ottawa, Ontario, K8M8T5, Canada",Ottawa,ON,Canada,Makayla,Smith,Relative,(278) 469-9733,2025-02-09,"Halifax, NS"
Spencer,Sellers,1963-08-04,61,Male,Platinum,"3041 Long Drive Crescent, Toronto, Ontario, S5X1Y1, Canada",Toronto,ON,Canada,Joshua,Brown,Relative,(403) 696-5666,2025-02-09,"Halifax, NS"
Michael,Joseph,1953-06-24,71,Male,Gold,"9298 Wright Station Terrace, Victoria, British Columbia, N9X 6C9, Canada",Victoria,BC,Canada,Stephanie,Nichols,Relative,(778) 795-6544,2025-02-09,"Halifax, NS"
Catherine,Joseph,1947-06-26,77,Female,Gold,"9298 Wright Station Terrace, Victoria, British Columbia, N9X 6C9, Canada",Victoria,BC,Canada,Stephanie,Nichols,Relative,(778) 795-6544,2025-02-09,"Halifax, NS"
Melissa,Scott,1973-11-10,51,Female,Gold,"7803 Wood Lights Crescent, Sydney, Nova Scotia, P3B 7Y9, Canada",Sydney,NS,Canada,Alexander,Davis,Relative,(119) 269-2124,2025-02-09,"Halifax, NS"
Samuel,Scott,1977-11-09,47,Male,Gold,"7803 Wood Lights Crescent, Sydney, Nova Scotia, P3B 7Y9, Canada",Sydney,NS,Canada,Alexander,Davis,Relative,(119) 269-2124,2025-02-09,"Halifax, NS"
Ian,Chavez,1965-12-14,59,Male,Gold,"7846 Joseph Rapids Road, Red Deer, Alberta, X3T7N5, Canada",Red Deer,AB,Canada,John,Mcfarland,Relative,(128) 639-1741,2025-02-09,"Halifax, NS"
Lisa,Chavez,1959-12-16,65,Female,Gold,"7846 Joseph Rapids Road, Red Deer, Alberta, X3T7N5, Canada",Red Deer,AB,Canada,John,Mcfarland,Relative,(128) 639-1741,2025-02-09,"Halifax, NS"
Patricia,Waters,1964-01-17,61,Female,Silver,"235 Robert Brook Court, Hamilton, Ontario, C1M 6J5, Canada",Hamilton,ON,Canada,Taylor,Howard,Relative,(851) 743-2806,2025-02-09,"Halifax, NS"
Donna,Waters,1970-09-11,54,Female,Silver,"235 Robert Brook Court, Hamilton, Ontario, C1M 6J5, Canada",Hamilton,ON,Canada,Taylor,Howard,Relative,(851) 743-2806,2025-02-09,"Halifax, NS"
Amanda,Smith,1965-08-10,59,Female,Silver,"8046 House Spring Lane, Sherbrooke, Quebec, H9G 7Y3, Canada",Sherbrooke,QC,Canada,Jodi,Allen,Relative,(063) 254-3107,2025-02-09,"Halifax, NS"
Randall,Smith,1962-04-04,62,Male,Silver,"8046 House Spring Lane, Sherbrooke, Quebec, H9G 7Y3, Canada",Sherbrooke,QC,Canada,Jodi,Allen,Relative,(063) 254-3107,2025-02-09,"Halifax, NS"
Jill,Burgess,1991-07-12,33,Female,Gold,"4711 Fisher Track Street, Victoria, British Columbia, L7V 4N8, Canada",Victoria,BC,Canada,Nancy,Brown,Relative,(790) 552-8183,2025-02-09,"Halifax, NS"
